Year,Experiment,CollectionDate,Geographic.Location,Collector,Species,Accession,Plot,Plant,Treatment,Developmental.Stage,Plant.Height..cm.,Diameter..mm.,Fat.Stem.Diameter..mm.,Skinny.Stem.Diameter..mm.,Panicle.Length..cm.,Tassel.Length..cm.,Tassel.Height..cm.,Ear.Height..cm.,Leaf.Count,Collar.Number,Tiller.No.,FloweringDate,SilkingDate,SelfingDate,BR.Whorls.Emerged,BR.Whorls.in.Soil,Lodging,Notes,X
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,1,PT,,184.5,26,NA,NA,,NA,N/A,121.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,2,PT,,222,24,NA,NA,,NA,N/A,123.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,3,PT,,207,18,NA,NA,,NA,N/A,122.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,4,PT,,226,22,NA,NA,,NA,N/A,120,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,5,PT,,209,18,NA,NA,,NA,N/A,115,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,356,6,PT,,213,18,NA,NA,,NA,N/A,127,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,1,PT,,221.5,20,NA,NA,,NA,N/A,111,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,2,PT,,200,22,NA,NA,,NA,N/A,122,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,3,PT,,228,21,NA,NA,,NA,N/A,124,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,4,PT,,234,26,NA,NA,,NA,N/A,118.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,5,PT,,231.2,23,NA,NA,,NA,N/A,124,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,345,6,PT,,225,21,NA,NA,,NA,N/A,127.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,1,LB,,236,25,NA,NA,,NA,45,124,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,2,LB,,226,25,NA,NA,,NA,40,134,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,3,LB,,244,20,NA,NA,,NA,38,136,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,4,LB,,237,20,NA,NA,,NA,39.5,126.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,5,LB,,228,25,NA,NA,,NA,45,133.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,346,6,LB,,227,23,NA,NA,,NA,42.2,133.8,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,352,1,DT,,208,29,NA,NA,,NA,N/A,103,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,352,3,DT,,212,17,NA,NA,,NA,N/A,115,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,352,4,DT,,208.5,25,NA,NA,,NA,N/A,188.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,352,5,DT,,207,25,NA,NA,,NA,N/A,106,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,354,1,DT,,219,18,NA,NA,,NA,N/A,113,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,354,2,DT,,221,18,NA,NA,,NA,N/A,129.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,354,3,DT,,209,20,NA,NA,,NA,N/A,109,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,354,4,DT,,223,29,NA,NA,,NA,N/A,123,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,354,6,DT,,221,19,NA,NA,,NA,N/A,119,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,1,LB,,201,28,NA,NA,,NA,43,113.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,2,LB,,221,20,NA,NA,,NA,37.7,126,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,3,LB,,226,18,NA,NA,,NA,32.5,118,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,4,LB,,226,25,NA,NA,,NA,40,120.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,5,LB,,229,20,NA,NA,,NA,39,134.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,355,6,LB,,231.5,21,NA,NA,,NA,34.5,122.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/17/23,"Newark, DE",Irene,Maize,B73,356,1,PT,,121,25,NA,NA,,NA,66,N/A,,,NA,,,,NA,NA,,,
